Official Symbol Interactor A	Official Symbol Interactor B
MAP2K4	FLNC
MYPN	ACTN2
ACVR1	FNTA
GATA2	PML
RPA2	STAT3
ARF1	GGA3
ARF3	ARFIP2
ARF3	ARFIP1
AKR1A1	EXOSC4
XRN1	ALDOA
APP	APPBP2
APLP1	DAB1
CITED2	TFAP2A
EP300	TFAP2A
APOB	MTTP
ARRB2	RALGDS
CSF1R	GRB2
BAT2	GRB2
LSM1	NARS
SLC4A1	SLC4A1AP
BCL3	BARD1
ADRB1	GIPC1
BRCA1	ATF1
BRCA1	MSH2
BRCA1	BARD1
BRCA1	MSH6
ARVCF	CDH15
PCBD1	CACNA1C
PSEN2	CAPN1
CAPN3	TTN
ITPR1	CA8
COMT	XRN2
MAGI1	CTNNB1
RB1	CUX1
TSG101	CDKN1A
ORC1L	MCM2
ORC4L	MCM2
MCM5	MCM2
CDC7	MCM2
ORC2L	MCM2
RPA2	MCM2
DBF4	MCM2
AKAP8	MCM2
MCM2	MCM2
RPA1	MCM2
RPA3	MCM2
ORC5L	MCM2
MCM3	MCM2
YWHAZ	CDC25A
DOCK8	CDC42
TRIP10	CDC42
CDKN3	CDK2
RBBP8	RBL1
HAND2	CENPB
CLTC	HGS
IGFBP3	COL1A1
TXN	COL1A1
ATF2	SMAD3
ATF2	SMAD4
CCND3	EIF3K
RALBP1	CCNB1
PPIB	CAMLG
CSRP1	CSRP1
CSK	INSR
CSK	IGF1R
DCN	EGFR
SIM2	ARNT
SIM1	ARNT
NPAS4	ARNT
HBEGF	ZBTB16
PCNA	GADD45A
TOPBP1	TOP2B
FLNA	DRD3
LSM3	SNRPE
LSM4	SNRPE
LSM5	SNRPE
EP300	EGR1
CREBBP	EGR1
NUMA1	EPB41
EEF1A1	XRN2
EXOSC4	EEF1A1
PLCG1	EEF1A1
KTN1	EEF1D
KDR	ANXA5
PPARGC1B	ESR1
SMARCA4	ESR1
DDX54	ESR1
ESR1	DNTTIP2
FGFR1	FDPS
TGFB1	FNTA
SUMO1	FAS
SUMO1	FASLG
MPP6	FTL
BAT2	FGA
FLNA	ITGB1
FGFR1	FRS3
GABRG2	GABARAP
SFN	NR3C1
TGFB1I1	NR3C1
NR3C1	ECD
GCK	PFKFB2
HSPA5	DPH1
SLC2A2	KPNA2
SLC2A4	DAXX
GRIK2	SDCBP
GRIK2	PICK1
GRIK1	PICK1
GRIK1	SDCBP
CCNT1	GRN
RGS19	GNAZ
RGS19	GNAO1
RGS19	GNAI2
RGS19	GNAI3
HSP90AA1	LSM1
HSF2	UBE2I
LIMK1	NRG1
FGF7	HSPG2
BAT2	MAD2L2
BAT2	P4HA2
BAT2	CCR10
C1QBP	BAT2
EIF3E	BAT2
BAT2	GANAB
HNRNPA1	BAT2
BAT2	PSMA3
HNRNPM	BAT2
BAT2	MAN2C1
BAT2	SSR3
BAT2	DDX20
UBAP2L	BAT2
IMMT	BAT2
BAT2	CPSF1
BAT2	PRMT2
BAT2	QARS
IFT88	BAT2
XRN1	BAT3
HTT	SETD2
HAP1	HTT
HTT	ZDHHC17
C15orf63	HTT
TRIP10	HTT
MEF2D	YWHAQ
TCF3	HAND2
TCF3	ID3
IGF1R	IRS1
YWHAE	IGF1R
SOCS1	IGF1R
PTK2	IRS1
MAPK8	IRS1
INSR	IRS1
IL1A	NDN
JAK2	PRMT5
JAK2	SOCS1
BYSL	KRT8
KRT18	CBL
KRT18	DNAJB6
LMNA	LMNB1
LMNA	SREBF1
LMNA	NARF
MLLT4	BCR
BNIPL	BCL2
BNIP2	BCL2
SMN1	BCL2
TP53BP2	BCL2
RTN4	BCL2
BCL2	BECN1
NFKB1	LYL1
SKAP1	PTPRC
ALOX5	COTL1
VAV1	XRCC6
NCF4	XRCC6
XRCC5	XRCC6
MRE11A	XRCC6
CBX5	XRCC6
PIAS4	LEF1
MITF	LEF1
DHDDS	LOX
YBX1	SRSF9
ATRNL1	MC4R
ATF7IP	MBD1
CHAF1A	MBD1
MITF	PIAS3
MITF	PATZ1
MITF	UBE2I
ANP32A	MAP1B
MAP1B	ANP32A
MCM7	ORC1L
MCM7	RB1
MCM7	DBF4
MCM7	CDC7
MCM7	ORC3L
MCM7	RPA1
MCM7	FHL2
MCM7	ORC2L
MCM7	ORC5L
NOV	POLR2L
MLL	PPIE
MLL	PPP1R15A
MLL	MLL
MLLT4	RAP1GAP
MLLT4	PVRL1
MLLT4	PFN1
MYF5	ID3
NEB	MYPN
NGFR	PRKACB
LSM7	NPY1R
SNCAIP	SNCA
NFKBIA	UBE2E3
EPB41L1	NUMA1
MAP3K8	NFKB1
RELA	FOS
RELA	PIAS3
RELA	RNF25
RELA	PPP1R13L
HNRNPA1	FEN1
NOP2	MCRS1
ETS1	DAXX
PLXNA1	AKT1
AKT2	APPL1
ETS2	CDK10
SHANK2	CTTN
CTTN	WIPF1
CSF1R	SOCS1
SNW1	SKI
NRAS	RAP1GDS1
GLMN	MET
KDM5B	FOXG1
VAV1	EZH2
REL	PPP4C
FLT1	SHC1
OPRD1	GPRASP1
MYO1C	CBL
PDE6D	RHOB
PDE6D	RHOA
RAP1GDS1	RHOA
PAX5	TLE4
KDM5B	PAX9
KALRN	PAM
NRBF2	PPARA
PIK3R3	PIK3CA
APOA1	PDE1A
NAA38	PGD
SNX17	SELP
PKD1	PKD2
PKD2	PKD2
PKD2	TRPC1
KCNA4	DLG1
PFN2	FHOD1
HUS1	PCNA
PSMA3	XRN2
PTPRB	MAGI3
PRKAR1A	PRKAR1B
PRKAR1B	AKAP1
FER	TMF1
MAPK1	NEK2
HABP4	GNB2L1
NSMAF	GNB2L1
AR	GNB2L1
ST7	GNB2L1
ITGB2	GNB2L1
GNB2L1	HABP4
PDPK1	PRKCZ
WWC1	PRKCZ
PSMB8	LSM1
EP300	MAF
PKM2	EXOSC5
ARHGDIG	RHOG
CD2AP	RAB4A
RABEP1	RAB5A
RIN3	RAB5B
PDE6D	RAP1A
RAP1GDS1	RAP1A
KRIT1	RAP1A
RGL2	RAP1B
PDE6D	RAP2B
EXOC8	RALA
BRCA2	RAD51
RAD51	RAD51AP1
DMC1	RAD51
RPA1	ORC2L
RPA2	ORC2L
HBP1	RB1
RB1	TRAP1
AATF	RB1
RB1	THOC1
HBP1	RBL2
RXRA	BRD8
NRBF2	RXRA
ANK1	RHAG
LMO2	KDM5A
LMO2	LMO2
TAL1	LMO2
UPF2	RPS25
RPE	EXOSC10
RPLP1	RPLP2
RPLP2	RPLP2
RPS15	UPF2
CYTH1	ARFRP1
TOP3B	SNRPB
SNRPA	SNRPA
PDZK1	SLC9A3
PDZK1	SLC17A1
ANK1	OBSCN
SOX9	NR5A1
NR5A1	NRIP1
NR5A1	NRIP1
CLU	CLU
CLU	TGFBR2
UNC13B	STX1A
CD27	SIVA1
FKBP1A	TGFBR1
YY1	FKBP1A
FKBP2	ARFGEF1
TAL1	NCAPG2
TXN	NCF4
PRKAR1A	AKAP1
MYO7A	PRKAR1A
PRKAR1A	AKAP10
TCAP	TTN
APBB1	TFCP2
CEBPZ	NFYB
ZEB1	DRAP1
ZEB1	KAT5
NDN	E2F1
ATM	ABL1
NTRK1	ABL1
TTF2	MYB
RAP1GDS1	HRAS
HSH2D	FES
RAP1GDS1	KRAS
SRC	EPHB2
TGFBR1	TGFBR2
TNNC1	TNNT1
TNFAIP3	TAX1BP1
TP53	WWOX
TP53	CDC14A
TNFRSF1A	PSMD2
TNFRSF1A	PSMD2
KDR	SHC2
DDR2	SHC1
CDH1	CTNND1
CDH1	CBLL1
ITGA1	BIN1
ITGA4	EED
FLI1	GATA1
VHL	FLNA
VHL	FLNA
VHL	VBP1
VHL	PHF17
XRCC1	LIG3
XRCC1	PNKP
ZNF24	ZNF174
ZNF10	TRIM28
ZNF10	TRIM24
COG5	MEFV
MYO7A	VEZT
XPA	RPA4
XPC	LSM3
XPC	RAD23A
FLNA	CMIP
AR	FLNA
FLNA	TRIO
FLNA	CASR
HCFC1	GABPA
AGTR2	MTUS1
RANBP9	USP11
SFPQ	NONO
PDPK1	PRKCI
BMX	PTPN21
BYSL	TRO
CITED1	SMAD4
MYPN	ACTN3
TBR1	CASK
ID1	CASK
LRP2	DLG3
ERBB4	DLG3
NCS1	IL1RAPL1
ARHGEF11	PLXNB3
UNC5A	MAGED1
LRPPRC	UXT
UXT	LSM1
CBX5	SUV39H1
UBE3A	UBQLN2
RAB9A	RABEPK
CTBP2	KLF8
UPF3B	TTC19
UPF3B	UPF2
UPF3B	MCRS1
VDAC1	DYNLT3
NXF3	XPO1
CDC6	PPP2R3B
TIMM8A	STAM
SH3GL3	SH3KBP1
DTNA	DMD
TRIP10	WAS
GPHN	ARHGEF9
PQBP1	TXNL4A
PQBP1	WBP11
GATA1	ZFPM2
F8	PHYH
SH2D1A	SLAMF1
FMR1	UBE2I
FXR1	FMR1
FMR1	NUFIP1
MSN	TSC1
ARAF	ASS1
MAP2K2	ARAF
EFEMP1	ARAF
ARAF	COPS3
POLA1	RBMS1
RPGR	RPGRIP1
RPGR	PDE6D
HTR2C	MPDZ
HTR2C	MPDZ
SYP	AP1G1
TAF1	UBTF
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	RNF4
AR	NCOA4
AR	NCOA4
AR	PAK6
RANBP9	AR
AR	RCHY1
AR	PIAS2
AR	PIAS2
BPY2	UBE3A
SORBS1	INSM1
YAF2	YY1
CBX3	LBR
CBX5	LBR
MAPK8IP3	KLC1
ERBB4	SNTB2
BCL2L1	AVEN
BCL2L1	BNIP3
BCL2L1	RTN1
BCL2L1	RTN4
BAX	BCL2A1
ABCA1	FADD
LRP2	MAGI1
ANKRA2	LRP2
LRP2	LRP2BP
LRP2	DAB2
LRP2	DLG2
TAF13	TBP
PTPN12	PSTPIP1
PTPN12	SHC1
PTPN12	PXN
TUFT1	TFIP11
PDE4DIP	PDE4D
CREBBP	HNF4A
CREBBP	NFE2L2
CREBBP	TDG
CREBBP	AIRE
AP1B1	AP1G1
PPP1R9B	CDKN2A
JAK3	TIAF1
JAK3	STAT5A
MAP1A	UPF2
EIF5A	XRN2
EIF5A	RPL5
PTRH2	AES
