From	To
CCK	CCKAR
GAST	CCKBR
GRP	GRPR
IL17F	IL17RA
NTN1	DSCAM
SEMA3A	PLXNA1
SST	SSTR1
SST	SSTR4
SST	SSTR2
SST	SSTR3
SST	SSTR5
AHSG	INSR
ANGPTL3	ITGAV
APLN	APLNR
ARTN	GFRA3
B2M	HFE
BMP8B	BMPR1B
C3	CR2
C3	ITGB2
C3	ITGAM
C3	ITGAX
C4BPA	CD40
C5	C5AR1
CALCA	CALCR
CCK	CCKBR
CFHR1	LBP
CLEC3B	HGF
CREG1	IGF2R
CRH	CRHR1
CRHBP	UCN
CRP	EGFR
CSHL1	GHR
CSHL1	PRLR
CSN3	IKBKG
CYR61	ITGAV
CYR61	ITGB5
DCN	EGFR
DCN	COL14A1
DHH	PTCH1
DHH	PTCH2
DKK1	LRP6
DKK1	KREMEN1
DKK2	LRP6
EDIL3	ITGAV
EDN1	EDNRA
EDN1	EDNRB
EDN3	EDNRA
EDN3	EDNRB
ESM1	ITGAL
F9	LRP1
FBLN1	APP
FGA	ITGA2B
FST	BMPR1B
FST	INHBA
FST	BMPR2
GAS6	TYRO3
GAS6	AXL
GAS6	MERTK
GC	LRP2
GCG	GCGR
GCG	GLP1R
GCG	GLP2R
GDF2	ACVR2B
GDF2	BMPR2
GDF2	ACVR2A
GDF9	BMPR2
GDNF	GFRA2
GDNF	GFRA1
GFER	ESR1
GHRH	GHRHR
GIP	GIPR
GSN	AR
IGFALS	IGFBP3
IGFALS	IGFBP5
IGFBP3	IGFALS
IGFBP3	CD44
IGFBP3	IGF1R
IGFBP4	LRP6
IGFBP4	FZD8
IHH	PTCH1
IHH	PTCH2
INSL3	RXFP2
KISS1	KISS1R
KNG1	ITGB2
KNG1	ITGAM
KNG1	CD93
KNG1	RXFP4
LBP	CD14
LGALS1	PTPRC
LGALS3	FCGR2A
MFAP2	NOTCH1
MFAP5	NOTCH1
MIF	CD74
MSTN	ACVR2B
MUC7	SELL
NGF	NGFR
NGF	SORT1
NGF	NTRK1
NGF	SORCS3
NMB	NMBR
NMU	NMUR2
NMU	NMUR1
NOV	ITGAV
NOV	NOTCH1
NPNT	ITGA8
NPPA	NPR1
NPPA	NPR2
NPPA	NPR3
NPPB	NPR1
NPPB	NPR2
NPPB	NPR3
NPPC	NPR2
NPPC	NPR3
NPY	NPY1R
NPY	NPY2R
NPY	NPY5R
NPY	PPYR1
NRTN	GFRA2
NRTN	GFRA1
NRTN	RET
NTF3	NTRK3
NTF4	NGFR
NTF4	NTRK2
NTN1	UNC5B
NTN1	UNC5A
NTN1	UNC5C
NTN1	DCC
NTN1	NEO1
NTN4	NEO1
NTS	NTSR1
NTS 	NTSR2
OXT	OXTR
PDGFD	PDGFRB
PF4	CXCR3
PF4	LDLR
PGC	ESR1
PIP	CD4
PNOC	OPRL1
POMC	MC3R
POMC	MC2R
POMC	MC4R
PRLH	PRLHR
PTH	PTH2R
PTH	PTH1R
PTHLH	PTH1R
QRFP	QRFPR
RLN1	RXFP1
SCGB3A2	MARCO
SCT	SCTR
SEMA3A	NRP1
SEMA3C	NRP1
SEMA3E	NRP1
SLIT2	ROBO4
SLIT2	ROBO1
SLIT2	ROBO2
SRPX2	PLAUR
TAC1	TACR2
TAC1	TACR1
TAC3	TACR3
TF	TFRC
TF	TFR2
TGFBI	ITGAV
TGFBI	ITGB1
TNFSF15	TNFRSF25
TNFSF15	TNFRSF6B
UCN	CRHR1
UCN	CRHR2
VCAN	TLR2
VCAN	CD44
WNT1	RYK
WNT1	FZD1
WNT1	LRP6
WNT1	FZD8
WNT2	FZD1
WNT2	LRP6
WNT2	FZD9
WNT3	FZD1
WNT3	LRP6
WNT3A	FZD1
WNT3A	LRP6
WNT3A	FZD8
WNT3A	ATP6AP2
WNT5A	ROR1
WNT5A	FZD7
WNT5A	FZD1
WNT5A	FZD2
WNT5A	ROR2
WNT5A	FZD5
WNT7A	LRP6
WNT7A	FZD5
WNT7A	FZD10
WNT7B	FZD1
WNT7B	FZD10
WNT8	FZD5
WNT8	FZD7
WNT8	FZD1
WNT11	FZD5
WNT11	FZD7
WNT10B	FZD5
CCL26	CCR3
CXCL13	CXCR5
TNFSF13B	TNFRSF13C
TNFSF13B	TNFRSF13B
TNFSF13B	TNFRSF17
CCL27	CCR10
IL24	IL20RA
IL24	IL22RA1
CNTF	CNTFR
CNTF	IL6ST
CNTF	LIFR
CSF1	CSF1R
CSF2	CSF2RA
CSF2	CSF2RB
CSF3	CSF3R
CTF1	IL6ST
CTF1	LIFR
EDA	EDAR
EDA	EDA2R
EGF	EGFR
EPO	EPOR
FIGF	FLT4
FIGF	KDR
FLT3LG	FLT3
CLCF1	CNTFR
CLCF1	IL6ST
CLCF1	LIFR
AMH	AMHR2
AMH	ACVR1
GH1	GHR
GH2	GHR
IL17B	IL17RB
IFNL2	IFNLR1
IFNL2	IL10RB
IFNL3	IFNLR1
IFNL3	IL10RB
IFNL1	IFNLR1
IFNL1	IL10RB
CXCL1	CXCR2
CXCL2	CXCR2
CXCL3	CXCR2
IL19	IL20RA
HGF	MET
IFNE	IFNAR1
IFNE	IFNAR2
IFNA1	IFNAR1
IFNA1	IFNAR2
IFNA2	IFNAR1
IFNA2	IFNAR2
IFNA4	IFNAR1
IFNA4	IFNAR2
IFNA5	IFNAR1
IFNA5	IFNAR2
IFNA6	IFNAR1
IFNA6	IFNAR2
IFNA7	IFNAR1
IFNA7	IFNAR2
IFNA8	IFNAR1
IFNA8	IFNAR2
IFNA10	IFNAR1
IFNA10	IFNAR2
IFNA13	IFNAR1
IFNA13	IFNAR2
IFNA14	IFNAR1
IFNA14	IFNAR2
IFNA16	IFNAR1
IFNA16	IFNAR2
IFNA17	IFNAR1
IFNA17	IFNAR2
IFNA21	IFNAR1
IFNA21	IFNAR2
IFNB1	IFNAR1
IFNB1	IFNAR2
IFNG	IFNGR1
IFNG	IFNGR2
IFNW1	IFNAR1
IFNW1	IFNAR2
IL1A	IL1R1
IL1A	IL1RAP
IL1A	IL1R2
IL1B	IL1R1
IL1B	IL1RAP
IL1B	IL1R2
IL2	IL2RA
IL2	IL2RB
IL2	IL2RG
FASLG	FAS
FASLG	TNFRSF6B
IL3	CSF2RB
IL3	IL3RA
IL4	IL2RG
IL4	IL4R
IL4	IL13RA1
IL5	CSF2RB
IL5	IL5RA
IL6	IL6R
IL6	IL6ST
IL7	IL2RG
IL7	IL7R
IL8	CXCR1
IL8	CXCR2
IL9	IL2RG
IL9	IL9R
IL10	IL10RA
IL10	IL10RB
IL11	IL6ST
IL11	IL11RA
IL12A	IL12RB1
IL12A	IL12RB2
IL12B	IL12RB1
IL12B	IL12RB2
IL13	IL4R
IL13	IL13RA1
IL15	IL2RB
IL15	IL2RG
IL15	IL15RA
IL17A	IL17RA
IL18	IL18RAP
IL18	IL18R1
INHBA	ACVR1
INHBA	ACVR1B
INHBA	ACVR2A
INHBA	ACVR2B
INHBB	ACVR1
INHBB	ACVR1B
INHBB	ACVR2A
INHBB	ACVR2B
INHBC	ACVR1
INHBC	ACVR1B
INHBC	ACVR2A
INHBC	ACVR2B
CXCL10	CXCR3
CCL4L2	CCR5
LEP	LEPR
LIF	IL6ST
LIF	LIFR
LTA	LTBR
LTA	TNFRSF1A
LTA	TNFRSF1B
LTA	TNFRSF14
LTB	LTBR
CCL3L3	CCR5
KITLG	KIT
CXCL9	CXCR3
OSM	IL6ST
OSM	LIFR
OSM	OSMR
IL20	IL20RA
IL20	IL22RA1
IL22	IL22RA2
IL22	IL10RB
IL22	IL22RA1
PDGFA	PDGFRA
PDGFA	PDGFRB
PDGFB	PDGFRA
PDGFB	PDGFRB
IL23A	IL23R
IL23A	IL12RB1
PPBP	CXCR2
PDGFC	PDGFRA
PRL	PRLR
CCL28	CCR3
CCL28	CCR10
IFNK	IFNAR1
IFNK	IFNAR2
CXCL16	CXCR6
IL21	IL2RG
IL21	IL21R
CCL1	CCR8
CCL2	CCR2
CCL3	CCR5
CCL3L1	CCR5
CCL4	CCR5
CCL5	CCR1
CCL5	CCR3
CCL5	CCR5
CCL7	CCR1
CCL7	CCR2
CCL8	CCR3
CCL11	CCR3
CCL13	CCR3
CCL13	CCR2
CCL14	CCR1
CCL15	CCR1
CCL15	CCR3
CCL16	CCR1
CCL17	CCR4
CCL19	CCR7
CCL20	CCR6
CCL21	CCR7
CCL22	CCR4
CCL23	CCR1
CCL24	CCR3
CCL25	CCR9
CXCL6	CXCR1
CXCL6	CXCR2
CXCL11	CXCR3
CXCL11	ACKR3
CXCL5	CXCR2
XCL1	XCR1
