drug_id	target_id	gene_name
DB01136	BE0000715	ADRA1D
DB02379	BE0003072	
DB00453	BE0000127	rpsI
DB01864	BE0004242	ARF6
DB07332	BE0001594	gag-pol
DB00336	BE0000056	mdh
DB08062	BE0000048	F2
DB00129	BE0002234	OAZ3
DB01805	BE0001377	apr
DB07516	BE0003969	bphD
DB02663	BE0001881	glnA
DB00398	BE0000147	FLT3
DB00609	BE0000466	katG
DB00142	BE0000517	BCAT1
DB00988	BE0000291	HTR1A
DB05217	BE0002413	NAMPT
DB08646	BE0004355	mauA
DB05458	BE0000850	CHRNB2
DB00992	BE0000710	FCGR1A
DB00590	BE0000715	ADRA1D
DB08349	BE0001019	MAPK14
DB08139	BE0001072	CDK2
DB00683	BE0003592	GABRG2
DB03147	BE0001409	thyX
DB05481	BE0000952	SERPINA1
DB06148	BE0000632	OPRK1
DB03063	BE0001694	
DB08814	BE0001086	NFKB1
DB00898	BE0002355	CACNA1S
DB00436	BE0000535	CA4
DB04523	BE0003417	CTSK
DB05451	BE0001086	NFKB1
DB08248	BE0001072	CDK2
DB11737	BE0000767	EGFR
DB05266	BE0000436	PDE3A
DB08144	BE0004154	accC
DB00073	BE0002095	C1QB
DB03796	BE0004538	PPT1
DB03147	BE0002881	ifcA
DB02183	BE0001473	HINT1
DB02019	BE0002498	actVA 6
DB02854	BE0000886	SULT2A1
DB03182	BE0004459	CS
DB01763	BE0000008	NNT
DB01279	BE0000856	PLIN3
DB03010	BE0001408	TUBB4A
DB08178	BE0003734	CCNA2
DB01159	BE0000503	MT-ND1
DB07127	BE0003769	PTPRB
DB05147	BE0001408	TUBB4A
DB00214	BE0000502	SLC12A1
DB02661	BE0003094	PAPSS1
DB00116	BE0000617	MTHFD1
DB02824	BE0000331	SHMT1
DB00747	BE0001176	SI
DB00142	BE0002277	DNPEP
DB03203	BE0004247	PVR
DB02774	BE0001234	linB
DB00022	BE0000661	IFNAR1
DB07632	BE0000322	CA2
DB00074	BE0001529	C1S
DB00105	BE0000385	IFNAR2
DB01354	BE0000826	GRIK2
DB04953	BE0002400	KCNQ5
DB02071	BE0000966	MMP13
DB07458	BE0003761	PRKACA
DB04315	BE0004618	CDC42
DB04326	BE0003844	TPI1
DB02348	BE0000916	PYGM
DB01580	BE0000172	ADRB1
DB01595	BE0003619	GABRR3
DB01836	BE0001739	PRSS1
DB01353	BE0000849	CHRNA4
DB03115	BE0000870	MAP2K1
DB03461	BE0000604	ME1
DB07704	BE0001405	tgt
DB01549	BE0000756	DRD2
DB03190	BE0001868	pbpX
DB01215	BE0003592	GABRG2
DB08656	BE0003801	rep
DB08342	BE0004276	TRAPPC6B
DB07552	BE0003851	pufL
DB03315	BE0001634	pyrR
DB11093	BE0008708	CALB2
DB07223	BE0000939	CTSB
DB01106	BE0000464	NTSR2
DB09129	BE0000033	INSR
DB03756	BE0000412	RXRA
DB02950	BE0001082	CDK1
DB09396	BE0000770	OPRM1
DB08011	BE0001097	MAPK10
DB01692	BE0001260	TK1
DB04147	BE0001863	fecA
DB02325	BE0002577	azoR
DB00568	BE0002355	CACNA1S
DB08710	BE0001478	
DB02153	BE0001464	pdxY
DB00814	BE0000262	PTGS2
DB04522	BE0003007	xynY
DB03187	BE0002302	GCSH
DB03151	BE0002993	nosZ
DB02930	BE0001580	pknB
DB01025	BE0000125	IL3
DB08348	BE0001869	eta
DB07930	BE0004135	ACOX1
DB03434	BE0001547	purT
DB02927	BE0001271	bioD1
DB05245	BE0004796	
DB00805	BE0000020	DRD1
DB04190	BE0002050	gag-pol
DB00228	BE0000640	GRIA1
DB00674	BE0003584	CHRNB4
DB00142	BE0000219	ASNS
DB00617	BE0000012	CACNA1I
DB04214	BE0003787	DUSP23
DB07276	BE0003790	MAPK8
DB00615	BE0001120	HSP90AA1
DB03650	BE0001277	PIM1
DB00642	BE0000882	GART
DB02210	BE0001514	ruvB
DB11601	BE0001164	TLR2
DB04725	BE0003768	PLA2G2E
DB00543	BE0000291	HTR1A
DB00127	BE0000566	SMOX
DB01032	BE0003719	PANX1
DB01963	BE0003531	CTRB1
DB03366	BE0001604	fixL
DB03970	BE0004388	
DB00312	BE0000523	GABRA3
DB03449	BE0000067	NOS1
DB00794	BE0000826	GRIK2
DB00747	BE0000045	CHRM3
DB08458	BE0001553	shc
DB03097	BE0001344	alr
DB05224	BE0002381	metG
DB00605	BE0003561	PTGDR2
DB00280	BE0000092	CHRM1
DB07978	BE0000382	DHODH
DB02379	BE0002830	ams
DB11994	BE0000248	ALOX5
DB08043	BE0000014	ABL1
DB01064	BE0003429	PDE4
DB01718	BE0002512	mmaA2
DB00306	BE0004797	GABRA1
DB01942	BE0000689	FGF1
DB04464	BE0003317	RNASE1
DB00114	BE0002168	SDSL
DB04039	BE0004169	ceaC
DB04315	BE0001380	ftsZ
DB03803	BE0002050	gag-pol
DB07537	BE0000369	KDR
DB01223	BE0000436	PDE3A
DB03597	BE0000182	PDE5A
DB04653	BE0003346	CAPN1
DB04493	BE0001199	GPI
DB03879	BE0001416	cslA
DB00586	BE0000248	ALOX5
DB00540	BE0000715	ADRA1D
DB07852	BE0003734	CCNA2
DB00002	BE0002099	FCGR2B
DB03345	BE0000952	SERPINA1
DB08910	BE0000262	PTGS2
DB03147	BE0002974	camA
DB03480	BE0000382	DHODH
DB04081	BE0000322	CA2
DB01330	BE0004643	pbp3
DB04002	BE0000322	CA2
DB06335	BE0000854	DPP4
DB01277	BE0000033	INSR
DB01752	BE0001144	PCMT1
DB08618	BE0003805	IGHG2
DB01677	BE0001267	mdh
DB02379	BE0002739	xynA
DB03908	BE0002050	gag-pol
DB05119	BE0002409	PLA2G7
