from	to	Direction	Type
TNF	TNFRSF1A	directed	LR
TNFRSF1A	TRAF2	directed	process(activation)
TRAF2	MAP3K1	directed	process(activation)
MAP3K1	MAP2K4	directed	process(phosphorylation)
MAP2K4	ARRB2	directed	process(binding/association)
IFNG	IFNGR2	directed	LR
IFNGR2	STAT1	directed	process(activation)
STAT1	TRAF2	directed	process(indirect_effect)
TRAF2	RAC1	directed	process(activation)
RAC1	NCF2	directed	process(activation)
MAP2K4	FLNA	directed	process(binding/association)
TRAF2	MAP3K5	directed	process(activation)
MAP3K5	MAP2K3	directed	process(phosphorylation)
MAP2K3	MAPK14	directed	process(phosphorylation)
MAPK14	ATF2	directed	process(phosphorylation)
MAPK14	MAX	directed	process(phosphorylation)
MAPK14	MEF2C	directed	process(phosphorylation)
MAPK14	DDIT3	directed	process(phosphorylation)
IFNG	IFNGR1	directed	LR
IFNGR1	STAT1	directed	process(activation)
MAPK14	CDC25B	directed	process(phosphorylation)
MAPK14	MAPKAPK3	directed	process(phosphorylation)
MAPKAPK3	HSPB1	directed	process(phosphorylation)
TRAF2	MAP3K7	directed	process(activation)
MAP3K7	MAP2K6	directed	process(activation)
MAP2K6	MAPK14	directed	process(activation)
MAPK14	JUND	directed	process(activation)
TRAF2	GAB2	directed	process(binding/association)
GAB2	PLCG2	directed	process(binding/association)
PLCG2	CHP1	directed	process(activation)
CHP1	NFATC1	directed	process(activation)
MAP2K4	MAPK8	directed	process(phosphorylation)
MAPK8	JUND	directed	process(phosphorylation)
TNF	TNFRSF1B	directed	LR
TNFRSF1B	TRAF2	directed	activation
TRAF2	MAP3K7	directed	activation
MAP3K7	MAP2K3	directed	phosphorylation
MAP2K3	MAPK14	directed	phosphorylation
MAPK14	RPS6KA4	directed	indirect
RPS6KA4	CREB5	directed	activation
TNFSF14	LTBR	directed	LR
LTBR	TRAF2	directed	process(binding/association)
MAP3K7	IKBKB	directed	process(activation)
IKBKB	NFKBIA	directed	process(activation)
NFKBIA	NFKB1	directed	process(dissociation)
NFKB1	CCL4	directed	process(expression)
TRAF2	FYN	directed	process(binding/association)
FYN	PIK3R5	directed	process(activation)
PIK3R5	AKT3	directed	process(activation)
MAP2K4	ARRB1	directed	process(binding/association)
PIK3R5	AKT1	directed	process(activation)
TNFRSF1A	FADD	directed	process(activation)
FADD	CASP8	directed	process(activation)
CASP8	CASP3	directed	process(activation)
CASP3	CASP6	directed	process(activation)
MAP3K1	MAP2K1	directed	process(phosphorylation)
MAP2K1	MAPK1	directed	process(phosphorylation)
MAPK1	ELK1	directed	process(phosphorylation)
ELK1	FOS	directed	process(expression)
MAP2K4	FLNB	directed	process(binding/association)
RAC1	NCF1	directed	process(activation)
MAPK14	CEBPB	directed	activation
RPS6KA4	ATF6B	directed	activation
MAP3K1	CHUK	directed	process(phosphorylation)
CHUK	NFKB1	directed	process(indirect_effect)
CHP1	CAMK4	directed	process(indirect)
CAMK4	CREB1	directed	process(activation)
MAP2K4	CRKL	directed	process(binding/association)
MAPK8	TP53	directed	process(phosphorylation)
PIK3R5	AKT2	directed	process(activation)
RPS6KA4	ATF2	directed	activation
RPS6KA4	CREB3	directed	activation
RPS6KA4	CREB1	directed	activation
RPS6KA4	CREB3L2	directed	activation
MAPK8	NFATC2	directed	process(inhibition)
CHUK	RELB	directed	process(indirect_effect)
LTB	LTBR	directed	LR
NFKB1	GADD45B	directed	process(expression)
