"ligand","receptor","Pathway_name","Database_source","Branch_path","p_val","PAS"
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___ARRB2",0.002,1.1999711579327
"IFNG","IFNGR2","Osteoclast_differentiation","KEGG","IFNG___IFNGR2___STAT1___TRAF2___RAC1___NCF2",0.004,1.75125200743528
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___FLNA",0.004,1.43648232218197
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___ATF2",0.005,1.10587061147812
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MAX",0.005,2.1701472321116
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MEF2C",0.005,1.07608949962742
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___DDIT3",0.007,1.04565879613899
"IFNG","IFNGR1","Osteoclast_differentiation","KEGG","IFNG___IFNGR1___STAT1___TRAF2___RAC1___NCF2",0.009,1.45728129394189
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___CDC25B",0.009,1.00960794200059
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MAPKAPK3___HSPB1",0.012,1.40510023765619
"IFNG","IFNGR2","Osteoclast_differentiation","KEGG","IFNG___IFNGR2___STAT1___TRAF2___MAP3K7___MAP2K6___MAPK14___JUND",0.023,0.464078660961321
"TNF","TNFRSF1A","Osteoclast_differentiation","KEGG","TNF___TNFRSF1A___TRAF2___GAB2___PLCG2___CHP1___NFATC1",0.024,0.823296778649395
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___MAPK8___JUND",0.025,1.4163729521567
"TNF","TNFRSF1B","TNF_signaling_pathway","KEGG","TNF___TNFRSF1B___TRAF2___MAP3K7___MAP2K3___MAPK14___RPS6KA4___CREB5",0.026,0.556434478272788
"TNFSF14","LTBR","NF-kappa_B_signaling_pathway","KEGG","TNFSF14___LTBR___TRAF2___MAP3K7___IKBKB___NFKBIA___NFKB1___CCL4",0.03,1.44358198475484
"TNF","TNFRSF1A","Osteoclast_differentiation","KEGG","TNF___TNFRSF1A___TRAF2___FYN___PIK3R5___AKT3",0.031,0.329281309316786
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___ARRB1",0.031,0.431622902410897
"TNF","TNFRSF1A","Osteoclast_differentiation","KEGG","TNF___TNFRSF1A___TRAF2___FYN___PIK3R5___AKT1",0.032,0.551250753818009
"TNF","TNFRSF1A","Apoptosis","KEGG","TNF___TNFRSF1A___FADD___CASP8___CASP3___CASP6",0.032,0.566844518978469
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K1___MAPK1___ELK1___FOS",0.032,0.65253996985906
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___FLNB",0.032,0.505900622563317
"IFNG","IFNGR2","Osteoclast_differentiation","KEGG","IFNG___IFNGR2___STAT1___TRAF2___RAC1___NCF1",0.033,0.402664947829438
"TNF","TNFRSF1B","TNF_signaling_pathway","KEGG","TNF___TNFRSF1B___TRAF2___MAP3K7___MAP2K3___MAPK14___CEBPB",0.033,0.470717381742284
"TNF","TNFRSF1B","TNF_signaling_pathway","KEGG","TNF___TNFRSF1B___TRAF2___MAP3K7___MAP2K3___MAPK14___RPS6KA4___ATF6B",0.033,0.410239843715945
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K1___CHUK___NFKB1",0.033,0.386935034816683
"TNF","TNFRSF1A","Osteoclast_differentiation","KEGG","TNF___TNFRSF1A___TRAF2___GAB2___PLCG2___CHP1___CAMK4___CREB1",0.034,0.638553889105578
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___CRKL",0.035,0.645608724879225
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___MAPK8___TP53",0.037,1.12951218269906
"TNF","TNFRSF1A","Osteoclast_differentiation","KEGG","TNF___TNFRSF1A___TRAF2___FYN___PIK3R5___AKT2",0.038,0.455242551072246
"TNF","TNFRSF1B","TNF_signaling_pathway","KEGG","TNF___TNFRSF1B___TRAF2___MAP3K7___MAP2K3___MAPK14___RPS6KA4___ATF2",0.038,0.417198906212545
"IFNG","IFNGR2","Osteoclast_differentiation","KEGG","IFNG___IFNGR2___STAT1___TRAF2___GAB2___PLCG2___CHP1___NFATC1",0.041,0.289319603847349
"TNF","TNFRSF1B","TNF_signaling_pathway","KEGG","TNF___TNFRSF1B___TRAF2___MAP3K7___MAP2K3___MAPK14___RPS6KA4___CREB3",0.041,0.434090158659911
"TNF","TNFRSF1B","TNF_signaling_pathway","KEGG","TNF___TNFRSF1B___TRAF2___MAP3K7___MAP2K3___MAPK14___RPS6KA4___CREB1",0.041,0.422519748333113
"TNF","TNFRSF1B","TNF_signaling_pathway","KEGG","TNF___TNFRSF1B___TRAF2___MAP3K7___MAP2K3___MAPK14___RPS6KA4___CREB3L2",0.042,0.473993019727038
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___MAPK8___NFATC2",0.044,0.941068987502137
"TNF","TNFRSF1A","MAPK_signaling_pathway","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K1___CHUK___RELB",0.044,0.280529153108072
"TNF","TNFRSF1A","Osteoclast_differentiation","KEGG","TNF___TNFRSF1A___TRAF2___MAP3K7___MAP2K6___MAPK14___JUND",0.048,0.480777494376218
"LTB","LTBR","NF-kappa_B_signaling_pathway","KEGG","LTB___LTBR___TRAF2___MAP3K7___IKBKB___NFKBIA___NFKB1___GADD45B",0.048,1.84919654811757
