from	to	Direction	Type	Pathway_name	Database_source	Conc	DB_edge_correlation	DB_edge_color	Branch	Branch_path	Signaling_protein	Global_sign	receiver_avg_log2FC	Edge_weight	weight	color	from_weight	from_logFC	from_color	to_weight	to_logFC	to_color	p_val	PAS
IFNG	IFNGR2	directed	process(activation)	Osteoclast_differentiation	KEGG	IFNGIFNGR2	1	Red	Leaf_branch_130	IFNG___IFNGR2___STAT1___TRAF2___RAC1___NCF2	Ligand	1	24.5549696494559	0.0272586330374275	0.0272586330374275	Red	0.572095439360047	0.572095439360047	Red	24.5549696494559	24.5549696494559	Red	0.004	1.75125200743528
IFNGR2	STAT1	directed	process(activation)	Osteoclast_differentiation	KEGG	IFNGR2STAT1	1	Red	Leaf_branch_130	IFNG___IFNGR2___STAT1___TRAF2___RAC1___NCF2	Receptor	1	-0.778639888731408	0.0295412626560003	0.0295412626560003	Red	24.5549696494559	24.5549696494559	Red	-0.778639888731408	-0.778639888731408	Blue	0.004	1.75125200743528
STAT1	TRAF2	directed	process(indirect_effect)	Osteoclast_differentiation	KEGG	STAT1TRAF2	0.25	Green	Leaf_branch_130	IFNG___IFNGR2___STAT1___TRAF2___RAC1___NCF2	Signaling	1	-0.798803911298352	0.00278792252561712	0.00278792252561712	Green	-0.778639888731408	-0.778639888731408	Blue	-0.798803911298352	-0.798803911298352	Blue	0.004	1.75125200743528
TRAF2	RAC1	directed	process(activation)	Osteoclast_differentiation	KEGG	TRAF2RAC1	1	Red	Leaf_branch_130	IFNG___IFNGR2___STAT1___TRAF2___RAC1___NCF2	Signaling	1	-15.1440564852218	1.33661721291699e-05	1.33661721291699e-05	Red	-0.798803911298352	-0.798803911298352	Blue	-15.1440564852218	-15.1440564852218	Blue	0.004	1.75125200743528
RAC1	NCF2	directed	process(activation)	Osteoclast_differentiation	KEGG	RAC1NCF2	1	Red	Leaf_branch_130	IFNG___IFNGR2___STAT1___TRAF2___RAC1___NCF2	Leaf	1	42.617866571851	0.0679916576096503	0.0679916576096503	Red	-15.1440564852218	-15.1440564852218	Blue	42.617866571851	42.617866571851	Red	0.004	1.75125200743528
IFNG	IFNGR1	directed	process(activation)	Osteoclast_differentiation	KEGG	IFNGIFNGR1	1	Red	Leaf_branch_114	IFNG___IFNGR1___STAT1___TRAF2___RAC1___NCF2	Ligand	1	1.11564888095242	0.0316381658000369	0.0316381658000369	Red	0.572095439360047	0.572095439360047	Red	1.11564888095242	1.11564888095242	Red	0.009	1.45728129394189
IFNGR1	STAT1	directed	process(activation)	Osteoclast_differentiation	KEGG	IFNGR1STAT1	1	Red	Leaf_branch_114	IFNG___IFNGR1___STAT1___TRAF2___RAC1___NCF2	Receptor	1	-0.778639888731408	0.0295412626560003	0.0295412626560003	Red	1.11564888095242	1.11564888095242	Red	-0.778639888731408	-0.778639888731408	Blue	0.009	1.45728129394189
STAT1	TRAF2	directed	process(indirect_effect)	Osteoclast_differentiation	KEGG	STAT1TRAF2	0.25	Green	Leaf_branch_114	IFNG___IFNGR1___STAT1___TRAF2___RAC1___NCF2	Signaling	1	-0.798803911298352	0.00278792252561712	0.00278792252561712	Green	-0.778639888731408	-0.778639888731408	Blue	-0.798803911298352	-0.798803911298352	Blue	0.009	1.45728129394189
TRAF2	RAC1	directed	process(activation)	Osteoclast_differentiation	KEGG	TRAF2RAC1	1	Red	Leaf_branch_114	IFNG___IFNGR1___STAT1___TRAF2___RAC1___NCF2	Signaling	1	-15.1440564852218	1.33661721291699e-05	1.33661721291699e-05	Red	-0.798803911298352	-0.798803911298352	Blue	-15.1440564852218	-15.1440564852218	Blue	0.009	1.45728129394189
RAC1	NCF2	directed	process(activation)	Osteoclast_differentiation	KEGG	RAC1NCF2	1	Red	Leaf_branch_114	IFNG___IFNGR1___STAT1___TRAF2___RAC1___NCF2	Leaf	1	42.617866571851	0.0679916576096503	0.0679916576096503	Red	-15.1440564852218	-15.1440564852218	Blue	42.617866571851	42.617866571851	Red	0.009	1.45728129394189
IFNG	IFNGR2	directed	process(activation)	Osteoclast_differentiation	KEGG	IFNGIFNGR2	1	Red	Leaf_branch_124	IFNG___IFNGR2___STAT1___TRAF2___MAP3K7___MAP2K6___MAPK14___JUND	Ligand	1	24.5549696494559	0.0272586330374275	0.0272586330374275	Red	0.572095439360047	0.572095439360047	Red	24.5549696494559	24.5549696494559	Red	0.023	0.464078660961321
IFNGR2	STAT1	directed	process(activation)	Osteoclast_differentiation	KEGG	IFNGR2STAT1	1	Red	Leaf_branch_124	IFNG___IFNGR2___STAT1___TRAF2___MAP3K7___MAP2K6___MAPK14___JUND	Receptor	1	-0.778639888731408	0.0295412626560003	0.0295412626560003	Red	24.5549696494559	24.5549696494559	Red	-0.778639888731408	-0.778639888731408	Blue	0.023	0.464078660961321
STAT1	TRAF2	directed	process(indirect_effect)	Osteoclast_differentiation	KEGG	STAT1TRAF2	0.25	Green	Leaf_branch_124	IFNG___IFNGR2___STAT1___TRAF2___MAP3K7___MAP2K6___MAPK14___JUND	Signaling	1	-0.798803911298352	0.00278792252561712	0.00278792252561712	Green	-0.778639888731408	-0.778639888731408	Blue	-0.798803911298352	-0.798803911298352	Blue	0.023	0.464078660961321
TRAF2	MAP3K7	directed	process(activation)	Osteoclast_differentiation	KEGG	TRAF2MAP3K7	1	Red	Leaf_branch_124	IFNG___IFNGR2___STAT1___TRAF2___MAP3K7___MAP2K6___MAPK14___JUND	Signaling	1	-25.0261141566789	0.0152945068532188	0.0152945068532188	Red	-0.798803911298352	-0.798803911298352	Blue	-25.0261141566789	-25.0261141566789	Blue	0.023	0.464078660961321
MAP3K7	MAP2K6	directed	process(activation)	Osteoclast_differentiation	KEGG	MAP3K7MAP2K6	1	Red	Leaf_branch_124	IFNG___IFNGR2___STAT1___TRAF2___MAP3K7___MAP2K6___MAPK14___JUND	Signaling	1	0.792816919838553	0.0152940974877797	0.0152940974877797	Red	-25.0261141566789	-25.0261141566789	Blue	0.792816919838553	0.792816919838553	Red	0.023	0.464078660961321
MAP2K6	MAPK14	directed	process(activation)	Osteoclast_differentiation	KEGG	MAP2K6MAPK14	1	Red	Leaf_branch_124	IFNG___IFNGR2___STAT1___TRAF2___MAP3K7___MAP2K6___MAPK14___JUND	Signaling	1	-12.3617867435481	0.0232451830535528	0.0232451830535528	Red	0.792816919838553	0.792816919838553	Red	-12.3617867435481	-12.3617867435481	Blue	0.023	0.464078660961321
MAPK14	JUND	directed	process(activation)	Osteoclast_differentiation	KEGG	MAPK14JUND	1	Red	Leaf_branch_124	IFNG___IFNGR2___STAT1___TRAF2___MAP3K7___MAP2K6___MAPK14___JUND	Leaf	1	51.218470582941	0.0225703132161673	0.0225703132161673	Red	-12.3617867435481	-12.3617867435481	Blue	51.218470582941	51.218470582941	Red	0.023	0.464078660961321
TNF	TNFRSF1A	directed	process(activation)	Osteoclast_differentiation	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_135	TNF___TNFRSF1A___TRAF2___GAB2___PLCG2___CHP1___NFATC1	Ligand	1	41.113067856744	0.0452752996305479	0.0452752996305479	Red	0.635126428864221	0.635126428864221	Red	41.113067856744	41.113067856744	Red	0.024	0.823296778649395
TNFRSF1A	TRAF2	directed	process(activation)	Osteoclast_differentiation	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_135	TNF___TNFRSF1A___TRAF2___GAB2___PLCG2___CHP1___NFATC1	Receptor	1	-0.798803911298352	0.0202969922320282	0.0202969922320282	Red	41.113067856744	41.113067856744	Red	-0.798803911298352	-0.798803911298352	Blue	0.024	0.823296778649395
TRAF2	GAB2	directed	process(binding/association)	Osteoclast_differentiation	KEGG	TRAF2GAB2	1	Green	Leaf_branch_135	TNF___TNFRSF1A___TRAF2___GAB2___PLCG2___CHP1___NFATC1	Signaling	1	0.911140709773592	0.0602167095542816	0.0602167095542816	Green	-0.798803911298352	-0.798803911298352	Blue	0.911140709773592	0.911140709773592	Red	0.024	0.823296778649395
