p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	condition	Vertex_weight
0	101.68953311328	0.975	0.121	2.2250738585072e-308	S100A8	control	101.68953311328
0	44.2783955975168	0.908	0.059	2.2250738585072e-308	LGALS2	control	44.2783955975168
0	186.833528481329	0.996	0.215	2.2250738585072e-308	S100A9	control	186.833528481329
3.07832922194422e-303	31.0128042641096	0.952	0.151	4.22162069497431e-299	FCN1	control	31.0128042641096
8.21077400265817e-292	16.5098200013475	0.667	0.028	1.12602554672454e-287	CD14	control	16.5098200013475
8.83227387727188e-273	42.5602878660703	0.685	0.041	1.21125803952907e-268	MS4A6A	control	42.5602878660703
4.17804858984876e-258	94.5002374297532	1	0.517	5.72977583611858e-254	LYZ	control	94.5002374297532
4.91756923764457e-252	45.2663212253782	0.994	0.265	6.74395445250577e-248	TYROBP	control	45.2663212253782
1.36379428821294e-248	-33.8987907297094	0.992	0.266	1.87030748685523e-244	CST3	control	-33.8987907297094
2.93735536169427e-221	-29.5706330363623	0.787	0.106	4.02828914302752e-217	CFD	control	-29.5706330363623
1.36883018277554e-219	-0.706629892866637	0.919	0.222	1.87721371265838e-215	TYMP	control	-0.706629892866637
5.85604920992395e-217	-72.8347386970868	0.958	0.223	8.0309858864897e-213	LST1	control	-72.8347386970868
2.9224087957324e-214	-10.8253789666153	0.958	0.245	4.00779142246742e-210	AIF1	control	-10.8253789666153
3.9532218802195e-204	-5.04488693565597	0.923	0.312	5.42144848653302e-200	GPX1	control	-5.04488693565597
5.13013169102722e-204	28.7040805547039	0.758	0.128	7.03546260107473e-200	GRN	control	28.7040805547039
2.31730151226088e-203	2.98345721332376	0.979	0.365	3.17794729391457e-199	LGALS1	control	2.98345721332376
6.88187677061521e-202	13.7088371742581	0.944	0.352	9.4378058032217e-198	GSTP1	control	13.7088371742581
5.29526517955311e-197	-156.527865943906	1	0.987	7.26192666723914e-193	FTL	control	-156.527865943906
1.0552499107919e-189	-199.808716947421	1	1	1.44716972766002e-185	MALAT1	control	-199.808716947421
1.2479601677544e-187	-35.34196637113	0.94	0.229	1.71145257405839e-183	FCER1G	control	-35.34196637113
5.19070544497972e-184	293.592986802393	1	0.987	7.11853344724519e-180	FTH1	control	293.592986802393
3.76556948328901e-178	0.306036019530994	0.694	0.12	5.16410198938254e-174	CEBPD	control	0.306036019530994
3.49867249855412e-174	1.73690323304974	0.996	0.735	4.79807946451712e-170	S100A6	control	1.73690323304974
3.65127767315895e-172	16.6393925830789	0.71	0.114	5.00736220097018e-168	CD68	control	16.6393925830789
6.13476416918564e-167	-23.7998566853548	0.944	0.429	8.41321558162119e-163	CTSS	control	-23.7998566853548
1.98646743277e-166	24.7478988533586	0.717	0.142	2.72424143730078e-162	LGALS3	control	24.7478988533586
5.24183147354517e-162	60.9109308937995	0.544	0.058	7.18864768281984e-158	CDA	control	60.9109308937995
4.04833358404075e-161	13.6813185148973	0.767	0.194	5.55188467715348e-157	AP1S2	control	13.6813185148973
1.74084000730813e-154	-29.5683375408712	0.648	0.11	2.38738798602237e-150	CFP	control	-29.5683375408712
1.88580753635114e-154	5.4835292018295	0.462	0.039	2.58619645535196e-150	CSF3R	control	5.4835292018295
2.44218722412783e-154	42.617866571851	0.59	0.084	3.34921555916891e-150	NCF2	control	42.617866571851
2.44311747137691e-154	49.7775249030672	0.879	0.316	3.3504913002463e-150	NPC2	control	49.7775249030672
1.57930588911316e-153	4.52381754045246	0.552	0.075	2.16586009632979e-149	BLVRB	control	4.52381754045246
1.42520331781198e-149	9.8341952860356	0.967	0.507	1.95452383004735e-145	SAT1	control	9.8341952860356
1.45031213597646e-149	26.315445791913	0.713	0.143	1.98895806327811e-145	SERPINA1	control	26.315445791913
1.73700556769166e-149	39.3823851930293	0.371	0.015	2.38212943553234e-145	ASGR1	control	39.3823851930293
1.82283485152666e-149	-10.8156668389767	0.923	0.418	2.49983571538366e-145	PSAP	control	-10.8156668389767
1.90329589606615e-147	-19.4622099322742	0.95	0.432	2.61017999186512e-143	S100A11	control	-19.4622099322742
4.09504115094642e-147	4.42950697526611	0.515	0.062	5.61593943440792e-143	NUP214	control	4.42950697526611
6.96685142094147e-145	-41.1015981246556	1	0.771	9.55434003867913e-141	S100A4	control	-41.1015981246556
1.64399873747887e-143	10.824758798272	0.442	0.038	2.25457986857853e-139	ALDH2	control	10.824758798272
2.17095461236978e-142	-34.0904999844283	0.902	0.99	2.97724715540391e-138	RPS27A	control	-34.0904999844283
1.56325169463555e-139	-65.4545321659628	0.996	0.893	2.1438433740232e-135	OAZ1	control	-65.4545321659628
5.29609460782144e-139	37.0800651114484	0.3	0.004	7.26306414516632e-135	FOLR3	control	37.0800651114484
2.01702242378993e-138	43.1264609148932	0.652	0.14	2.76614455198551e-134	FCGRT	control	43.1264609148932
3.44878308995766e-136	-65.2885854165026	0.973	0.553	4.72966112956793e-132	COTL1	control	-65.2885854165026
1.09569880860533e-135	-5.04488665048407	0.556	0.079	1.50264134612135e-131	IFI30	control	-5.04488665048407
1.41198712693387e-135	36.7932660278914	0.427	0.038	1.93639914587711e-131	FPR1	control	36.7932660278914
6.95548145309405e-134	-41.3375950168074	0.11	0.76	9.53874726477319e-130	PTPRCAP	control	-41.3375950168074
1.36673123348811e-132	-95.5159645835126	0.246	0.806	1.8743352136056e-128	LTB	control	-95.5159645835126
1.76753571293928e-132	0.519597314922862	0.875	0.404	2.42399847672493e-128	GABARAP	control	0.519597314922862
1.96182033734206e-129	-65.6378600078898	0.808	0.274	2.6904404106309e-125	PYCARD	control	-65.6378600078898
1.35237057630954e-128	30.8119831843867	0.631	0.121	1.8546410083509e-124	SPI1	control	30.8119831843867
1.08019531559557e-127	-4.05353082956021	0.781	0.256	1.48137985580777e-123	TKT	control	-4.05353082956021
3.50087409638694e-124	-15.2194753565895	0.312	0.013	4.80109873578504e-120	RBP7	control	-15.2194753565895
6.19029443600204e-122	-15.1440564852218	0.852	0.348	8.4893697895332e-118	RAC1	control	-15.1440564852218
2.02851558889638e-121	6.46241249723541	0.471	0.063	2.7819062786125e-117	SLC7A7	control	6.46241249723541
