p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	condition	Vertex_weight
1.62620681954361e-117	20.9125628098238	0.948	0.464	2.23018003232211e-113	IL32	control	20.9125628098238
1.28274104113866e-110	20.7295169816902	0.981	0.642	1.75915106381756e-106	LTB	control	20.7295169816902
2.03920587302363e-72	47.8808470392848	0.652	0.244	2.79656693426461e-68	CD2	control	47.8808470392848
5.31946241271592e-65	35.329880424049	0.422	0.11	7.29511075279861e-61	AQP3	control	35.329880424049
1.38166129583877e-59	6.48544028384006	1	0.995	1.89481030111329e-55	RPS3	control	6.48544028384006
7.0387905521037e-59	2.20161748861099	1	0.977	9.65299736315502e-55	RPS25	control	2.20161748861099
1.23131001842707e-58	12.5672397747393	0.213	0.024	1.68861855927088e-54	TNFRSF4	control	12.5672397747393
1.42361031230131e-56	36.7796450176681	1	1	1.95233918229001e-52	B2M	control	36.7796450176681
2.12222834877445e-53	7.92867660329958	1	0.992	2.91042395750928e-49	RPS27	control	7.92867660329958
1.44412047027024e-50	2.0061725873321	0.988	0.913	1.98046681292861e-46	RPS29	control	2.0061725873321
6.44606908385274e-48	12.9220943934878	0.99	0.942	8.84013914159565e-44	RPLP0	control	12.9220943934878
1.50866472984438e-46	9.1088053462273	0.998	0.95	2.06898281050859e-42	RPL36	control	9.1088053462273
2.60814177516133e-46	2.16416268711198	0.393	0.124	3.57680563045625e-42	TRAT1	control	2.16416268711198
4.71403251146188e-46	4.58490547728219	1	0.991	6.46482418621882e-42	RPLP2	control	4.58490547728219
1.38607741765726e-45	6.46636606528051	0.973	0.852	1.90086657057516e-41	MYL12A	control	6.46636606528051
1.28033076932445e-44	30.7738831266982	1	0.988	1.75584561705155e-40	RPL27A	control	30.7738831266982
7.72307555717676e-44	1.9567233136945	0.998	0.969	1.05914258191122e-39	RPS10	control	1.9567233136945
2.56978764389243e-41	35.3395786524679	0.737	0.439	3.52420677483408e-37	AES	control	35.3395786524679
6.33021869051463e-37	11.0066901057016	0.263	0.069	8.68126191217176e-33	CD40LG	control	11.0066901057016
4.07463785127773e-36	2.14875677172756	0.6	0.308	5.58795834924227e-32	LCK	control	2.14875677172756
2.20081701434811e-35	3.60024602500252	1	0.997	3.018200453477e-31	RPL13	control	3.60024602500252
6.57472292983983e-35	0.713579684474809	1	0.998	9.01657502598234e-31	RPL10	control	0.713579684474809
1.25188672332338e-33	2.11474425083677	0.302	0.096	1.71683745236568e-29	TTC39C	control	2.11474425083677
2.77103351398525e-33	10.699988678093	0.992	0.956	3.80019536107937e-29	RPL17	control	10.699988678093
8.422994477453e-33	3.53895450775396	1	0.991	1.1551294626379e-28	RPL21	control	3.53895450775396
2.934774470694e-31	1.75110511890254	0.412	0.177	4.02474970910975e-27	LAT	control	1.75110511890254
4.2434845362556e-31	12.4888793908689	0.992	0.971	5.81951469302093e-27	RPS28	control	12.4888793908689
5.98275107054354e-31	12.2421634638776	0.818	0.615	8.20474481814341e-27	ZFP36L2	control	12.2421634638776
8.89474592719817e-31	19.1564439086052	0.172	0.035	1.21982545645596e-26	CRIP2	control	19.1564439086052
1.39321455954445e-30	2.96452008182099	1	0.976	1.91065444695925e-26	RPS3A	control	2.96452008182099
1.93267347582106e-30	1.75267529624481	0.412	0.176	2.650468404741e-26	CD3G	control	1.75267529624481
5.76543527131175e-30	2.71598588257497	0.861	0.708	7.90671793107694e-26	RPSAP58	control	2.71598588257497
2.19091390627337e-29	26.7918557528358	1	0.995	3.0046193310633e-25	RPL32	control	26.7918557528358
3.13740548060592e-29	7.72751017726073	0.998	0.99	4.30263787610296e-25	RPS15	control	7.72751017726073
5.6178789962195e-27	39.7115683664003	1	0.994	7.70435925541542e-23	RPL19	control	39.7115683664003
6.24749387307334e-27	32.1400612741554	0.296	0.109	8.56781309753278e-23	OPTN	control	32.1400612741554
9.10072757693258e-27	29.5674159942488	0.998	0.985	1.24807377990053e-22	RPS8	control	29.5674159942488
1.8918710120295e-26	4.85412506534136	1	0.982	2.59451190589726e-22	RPS16	control	4.85412506534136
5.22913793838988e-26	16.5844776866972	0.439	0.215	7.17123976870788e-22	TNFAIP8	control	16.5844776866972
1.41569745012529e-25	12.6984697307225	0.986	0.946	1.94148748310182e-21	RPL24	control	12.6984697307225
2.92709095375672e-25	1.726297979984	0.988	0.961	4.01421253398197e-21	RPL4	control	1.726297979984
2.33058060552686e-24	11.237860070495	0.195	0.056	3.19615824241954e-20	USP10	control	11.237860070495
2.72754785305326e-24	2.04046470248445	0.29	0.111	3.74055912567724e-20	SIT1	control	2.04046470248445
5.63283914045973e-24	7.74608390019747	0.663	0.435	7.72487559722648e-20	IFITM1	control	7.74608390019747
1.95589374915716e-23	39.1892506190186	0.412	0.206	2.68231268759413e-19	PPP2R5C	control	39.1892506190186
2.84497910321463e-23	22.3290741005326	0.458	0.247	3.90160434214854e-19	GIMAP5	control	22.3290741005326
2.51405053659206e-22	9.34488326890417	0.948	0.866	3.44776890588235e-18	BTG1	control	9.34488326890417
3.02434796962001e-22	2.38101908038539	0.122	0.024	4.14759080553689e-18	CMTM8	control	2.38101908038539
1.73302237503116e-21	36.732223316098	0.528	0.323	2.37666688511773e-17	CD69	control	36.732223316098
5.10753653803505e-21	19.9778728131164	0.631	0.421	7.00447560826126e-17	GIMAP4	control	19.9778728131164
6.48911356119252e-21	21.7525613051547	0.275	0.114	8.89917033781943e-17	SUSD3	control	21.7525613051547
7.2751740684227e-21	1.96315348362366	0.106	0.019	9.97717371743489e-17	TNFRSF18	control	1.96315348362366
7.6895754486303e-21	16.5748886072879	0.646	0.42	1.05454837702516e-16	ISG20	control	16.5748886072879
8.18820080923489e-21	57.7832853639954	0.157	0.043	1.12292985897847e-16	TNFRSF25	control	57.7832853639954
1.08837244059608e-20	19.2308993797913	0.901	0.752	1.49259396503346e-16	TOMM7	control	19.2308993797913
1.49790371741357e-20	7.5845864745525	0.458	0.252	2.05422515806096e-16	YWHAQ	control	7.5845864745525
5.82735620536401e-20	35.1076674125875	0.133	0.032	7.99163630003621e-16	GPR171	control	35.1076674125875
1.52685729167756e-19	22.3553221559858	0.3	0.136	2.0939320898066e-15	CORO1B	control	22.3553221559858
