gene	gene_type	pathway
CAMK4	TF	Osteoclast_differentiation
CASP3	TF	Apoptosis
CASP8	links	Apoptosis
CHP1	TF	Osteoclast_differentiation
CHUK	TF	MAPK_signaling_pathway
ELK1	TF	MAPK_signaling_pathway
FADD	links	Apoptosis
FYN	links	Osteoclast_differentiation
GAB2	links	Osteoclast_differentiation
IFNG	Ligand	Osteoclast_differentiation
IFNGR1	Receptor	Osteoclast_differentiation
IFNGR2	Receptor	Osteoclast_differentiation
IKBKB	links	NF-kappa_B_signaling_pathway
LTB	Ligand	NF-kappa_B_signaling_pathway
LTBR	Receptor	NF-kappa_B_signaling_pathway
MAP2K1	links	MAPK_signaling_pathway
MAP2K3	links	MAPK_signaling_pathway;TNF_signaling_pathway
MAP2K4	TF	MAPK_signaling_pathway
MAP2K6	links	Osteoclast_differentiation
MAP3K1	links	MAPK_signaling_pathway
MAP3K5	links	MAPK_signaling_pathway
MAP3K7	links	Osteoclast_differentiation;TNF_signaling_pathway;NF-kappa_B_signaling_pathway
MAPK1	links	MAPK_signaling_pathway
MAPK14	TF	MAPK_signaling_pathway;Osteoclast_differentiation;TNF_signaling_pathway
MAPK8	TF	MAPK_signaling_pathway
MAPKAPK3	TF	MAPK_signaling_pathway
NFKB1	TF	NF-kappa_B_signaling_pathway
NFKBIA	links	NF-kappa_B_signaling_pathway
PIK3R5	TF	Osteoclast_differentiation
PLCG2	links	Osteoclast_differentiation
RAC1	TF	Osteoclast_differentiation
RPS6KA4	TF	TNF_signaling_pathway
STAT1	links	Osteoclast_differentiation
TNF	Ligand	MAPK_signaling_pathway;Osteoclast_differentiation;TNF_signaling_pathway;Apoptosis
TNFRSF1A	Receptor	MAPK_signaling_pathway;Osteoclast_differentiation;Apoptosis
TNFRSF1B	Receptor	TNF_signaling_pathway
TNFSF14	Ligand	NF-kappa_B_signaling_pathway
TRAF2	links	MAPK_signaling_pathway;Osteoclast_differentiation;TNF_signaling_pathway;NF-kappa_B_signaling_pathway
