gene	avg_log2FC	p_val_adj	Vertex_weight
AKT1	1.56680674097096	0.011782519463591	1.56680674097096
AKT2	-0.553121991508564	1	-0.553121991508564
AKT3	-2.0563296418306	1	-2.0563296418306
ARRB1	0.684639828522291	1	0.684639828522291
ARRB2	46.8911162646134	3.60490075399495e-22	46.8911162646134
ATF2	-0.788473511322182	1	-0.788473511322182
ATF4	-39.5130746445482	0.610331035409047	-39.5130746445482
ATF6B	-0.551459914485569	1	-0.551459914485569
BCL2	-3.3390627101897	5.38030650466658e-05	-3.3390627101897
BCL2A1	-7.20201859415133	1	-7.20201859415133
BTK	-51.4448456455216	0.859401851643439	-51.4448456455216
CAMK4	-1.82387046920465	0.0229233377704142	-1.82387046920465
CASP10	0	1	0
CASP3	-0.789386985958433	1	-0.789386985958433
CASP6	-0.767011222980886	1	-0.767011222980886
CASP7	-1.57326257502243	1	-1.57326257502243
CASP8	-0.78904368071963	1	-0.78904368071963
CCL28	0.499563852985493	1	0.499563852985493
CCL4	-78.5512946553205	1	-78.5512946553205
CCL4L1	0.816228628634555	1	0.816228628634555
CCL4L2	2.1685885538795	1	2.1685885538795
CCR10	-1.58403088901561	1	-1.58403088901561
CDC25B	-8.80300714998683	1.26539972033642e-06	-8.80300714998683
CDC42	-27.6073420817014	1	-27.6073420817014
CEBPB	15.1492722629094	1.75825081208227e-68	15.1492722629094
CFL1	31.4546855487805	0.0418129289055309	31.4546855487805
CFLAR	0	1	0
CHP1	1.17609592777725	1	1.17609592777725
CHUK	-0.952984628484161	1	-0.952984628484161
CREB1	-0.818469469641488	1	-0.818469469641488
CREB3	-0.272157453533826	1	-0.272157453533826
CREB3L2	0.728000475548864	1	0.728000475548864
CREB5	4.99390469344354	8.22512184860815e-10	4.99390469344354
CRKL	0.212256874971051	1	0.212256874971051
CXCL2	3.48065602484591	8.44991479275424e-20	3.48065602484591
CYBA	-15.14329112835	4.98570883123416e-114	-15.14329112835
CYBB	2.59271472585302	1.8664444309119e-39	2.59271472585302
DAXX	-0.39454761557781	1	-0.39454761557781
DDIT3	-0.448591287553	1	-0.448591287553
DFFA	0.305231767848334	1	0.305231767848334
DFFB	0.236565621659209	1	0.236565621659209
EGF	0	1	0
EGFR	0	1	0
EIF4E	-15.2003119553998	1	-15.2003119553998
EIF4E2	-63.1694084879441	4.78373923333106e-08	-63.1694084879441
EIF4EBP1	-13.0204751701047	4.3860558124021e-53	-13.0204751701047
ELK1	0.42164873893097	1	0.42164873893097
ELK4	-0.582133738469226	1	-0.582133738469226
FADD	-1.86461660923815	1	-1.86461660923815
FGR	-44.0433543779037	9.43429217186258e-60	-44.0433543779037
FLNA	30.9949274467735	4.97766303366863e-05	30.9949274467735
FLNB	-0.563667021720353	1	-0.563667021720353
FOS	9.24377898043219	0.0046759746349084	9.24377898043219
FOSB	1.16052998619092	1.57555353501288e-41	1.16052998619092
FOSL2	-28.3321668389432	1	-28.3321668389432
FYN	-1.00468125600138	1	-1.00468125600138
GAB2	0.911140709773592	1	0.911140709773592
GADD45B	-52.9624892529593	1	-52.9624892529593
GNAI1	0	1	0
GNB5	-1.17999399878894	1	-1.17999399878894
GRB2	-33.3843797249015	9.29572107011505e-12	-33.3843797249015
GSK3A	-2.04480552668055	1	-2.04480552668055
GSK3B	0.253081755945839	1	0.253081755945839
HIF1A	0.821279802705845	1	0.821279802705845
HSPB1	-0.504140555577627	1	-0.504140555577627
ICAM1	2.70863431082666	8.15631659830974e-05	2.70863431082666
IFNG	0.572095439360047	1	0.572095439360047
IFNGR1	1.11564888095242	1	1.11564888095242
IFNGR2	24.5549696494559	1.17461958416724e-44	24.5549696494559
IKBKB	-0.973295340633806	1	-0.973295340633806
IL1B	30.0933734540525	4.50196212289042e-64	30.0933734540525
IL1R1	0	1	0
IL8	31.4701136480691	6.18843869245338e-73	31.4701136480691
IRAK1	4.55479450804213	1	4.55479450804213
IRAK4	-19.3734032859646	1	-19.3734032859646
IRS2	1.64861109225685	1	1.64861109225685
ITCH	6.09674602949121	1	6.09674602949121
ITK	-2.25449221609036	0.00647027377681376	-2.25449221609036
JUN	-26.685312258994	9.26858154185159e-19	-26.685312258994
JUNB	-45.440352527624	8.75680565110139e-12	-45.440352527624
JUND	51.218470582941	1.89448639747983e-35	51.218470582941
LIMK1	1.38493990148004	1	1.38493990148004
LTA	1.53258509309241	0.364409450290233	1.53258509309241
LTB	20.7295169816902	1.75915106381756e-106	20.7295169816902
LTBR	2.5133189961304	2.51990561293769e-10	2.5133189961304
MAGI2	0	1	0
MAP2K1	0	1	0
MAP2K3	41.5689220350492	1	41.5689220350492
MAP2K4	0.336873974669855	1	0.336873974669855
MAP2K6	0.792816919838553	1	0.792816919838553
MAP2K7	-42.0505320600975	1	-42.0505320600975
MAP3K1	-0.450521220698651	1	-0.450521220698651
MAP3K14	0	1	0
MAP3K5	1.14037069284216	1	1.14037069284216
MAP3K7	-25.0261141566789	1	-25.0261141566789
MAPK1	0.507120485817609	1	0.507120485817609
MAPK13	-2.20895433664458	1	-2.20895433664458
MAPK14	-12.3617867435481	1	-12.3617867435481
MAPK8	-0.836359057797116	1	-0.836359057797116
MAPKAPK3	0	1	0
MAX	25.246443443117	1	25.246443443117
MEF2C	0.301131470423547	1	0.301131470423547
MKNK2	1.08995266485253	1	1.08995266485253
