Ligand	Receptor	Ligand_foldChange	Receptor_foldChange	Ligand_percentExp	Receptor_percentExp	specificity_sig_score	normalized_enrichment_score	enrichment_score
B2M	CD1A	36.7796450176681	2.99608269286846	1	0.008	0.0123456790123457	-0.547207102656932	18.4018068396055
B2M	HFE	36.7796450176681	0.908034524234264	1	0.006	0.0493827160493827	-0.547030492268928	18.3925466124068
LTB	TNFRSF1A	20.7295169816902	41.113067856744	0.981	0.179	0.0123456790123457	-1.06965988484867	13.8474476526976
B2M	HLA-F	36.7796450176681	-40.8540145905252	1	0.265	0.0617283950617284	-0.339795623131373	12.9766655755895
LTB	LTBR	20.7295169816902	2.5133189961304	0.981	0.073	0.0246913580246914	-0.922823960241042	10.2595642228778
LTB	CD40	20.7295169816902	-0.57736473776423	0.981	0.048	0.0617283950617284	-0.916199492599889	10.1539713258127
IFNG	IFNGR2	0.572095439360047	24.5549696494559	0.008	0.377	0.037037037037037	-5.20204630817289	4.63090016067988
LTA	TNFRSF1A	1.53258509309241	41.113067856744	0.046	0.179	0.0123456790123457	-2.07789379526743	3.71486903031972
TNF	TNFRSF1A	0.635126428864221	41.113067856744	0.027	0.179	0.0493827160493827	-2.06688551145574	3.68819377996826
TNFSF13	TNFRSF1A	1.43098887534719	41.113067856744	0.008	0.179	0.0123456790123457	-2.05779643290702	3.68534352867998
PSAP	LRP1	15.1416701106253	3.22332197954857	0.416	0.121	0.0123456790123457	-0.340081317247996	3.34447836277275
LTA	TNFRSF1B	1.53258509309241	12.2131743930527	0.046	0.262	0.0123456790123457	-2.0130046212429	1.63517530263103
TNF	TNFRSF1B	0.635126428864221	12.2131743930527	0.027	0.262	0.0493827160493827	-1.98844970385553	1.60850005227957
CD40LG	CD40	11.0066901057016	-0.57736473776423	0.263	0.048	0.0617283950617284	17.2340820739481	1.43352299519342
CALR	LRP1	1.12149998846976	3.22332197954857	0.284	0.121	0.17283950617284	4.87883105381823	0.354263978125394
CFH	ITGAM	2.27706987107436	3.15766630588745	0.025	0.14	0.0123456790123457	5.40091975539685	0.249500014800551
F8	ASGR2	0.772254482322348	4.7035209965954	0.01	0.085	0.037037037037037	5.60410549292136	0.203760914766916
F8	LRP1	0.772254482322348	3.22332197954857	0.01	0.121	0.037037037037037	6.92973424998754	0.1988722521743
CALR	SCARF1	1.12149998846976	3.28088867252133	0.284	0.01	0.234567901234568	3.52882165802271	0.175657441725313
SEMA4D	PLXNB2	1.03916155628746	2.07140288791833	0.118	0.096	0.160493827160494	2.35994268781426	0.16073787044104
HRAS	TLR2	0.262120438558849	3.62972473811387	0.043	0.073	0.0493827160493827	5.61703464441079	0.138120542370171
LTA	LTBR	1.53258509309241	2.5133189961304	0.046	0.073	0.0246913580246914	3.15295000546972	0.126985600499885
TNFSF14	LTBR	1.1888378470868	2.5133189961304	0.027	0.073	0.0740740740740741	2.56574524983403	0.107785454294432
SEMA4C	PLXNB2	1.09323959327487	2.07140288791833	0.008	0.096	0.246913580246914	1.61509446377146	0.103800296993179
TNF	LTBR	0.635126428864221	2.5133189961304	0.027	0.073	0.197530864197531	2.29757176631034	0.100310350148427
MFNG	NOTCH2	0.409835623852701	0.93106853426752	0.23	0.077	0.345679012345679	1.07499744055766	0.0829772353123602
MFNG	NOTCH1	0.409835623852701	1.50589596718409	0.23	0.042	0.209876543209877	2.10488367210637	0.0787549120539265
IFNG	IFNGR1	0.572095439360047	1.11564888095242	0.008	0.127	0.407407407407407	0.951983334755161	0.0731320856979189
TNFSF8	TNFRSF8	1.2042092568638	1.5965437325466	0.027	0.023	0.320987654320988	0.682880325781062	0.0346170778919472
HRAS	INSR	0.262120438558849	3.07392841470441	0.043	0.017	0.17283950617284	2.54584010597886	0.0317639809540027
F8	LDLR	0.772254482322348	1.50312757049326	0.01	0.033	0.037037037037037	3.96187484649706	0.0286628773247505
PTDSS1	SCARB1	0.476233777487837	0.84010042205408	0.097	0.01	0.506172839506173	0.559424195498888	0.0272978403184305
ZP3	MERTK	0.772833134282262	2.52380272269982	0.033	0.008	0.0740740740740741	3.1573456421576	0.0228469576064566
GDF11	ACVR1B	1.27982780995621	1.35329987940964	0.006	0.013	0.135802469135802	1.7432457296879	0.0126359326460313
PTDSS1	JMJD6	0.476233777487837	-0.640513039093733	0.097	0.056	0.592592592592593	0.160667474049412	0.00516297311353555
TNF	TRAF2	0.635126428864221	-0.798803911298352	0.027	0.015	0.703703703703704	0.107567746554104	0.00258317745492935
CCL28	CCR10	0.499563852985493	-1.58403088901561	0.029	0.006	0.506172839506173	0.215469523954927	0.00249158320124281
