from	to	Direction	Type	Pathway_name	Database_source	Conc	DB_edge_correlation	DB_edge_color	Branch	Branch_path	Signaling_protein	Global_sign	receiver_avg_log2FC	Edge_weight	weight	color	from_weight	from_logFC	from_color	to_weight	to_logFC	to_color	p_val	PAS
TNF	TNFRSF1A	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_52	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___ARRB2	Ligand	1	41.113067856744	0.0452752996305479	0.0452752996305479	Red	0.635126428864221	0.635126428864221	Red	41.113067856744	41.113067856744	Red	0.002	1.1999711579327
TNFRSF1A	TRAF2	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_52	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___ARRB2	Receptor	1	-0.798803911298352	0.0202969922320282	0.0202969922320282	Red	41.113067856744	41.113067856744	Red	-0.798803911298352	-0.798803911298352	Blue	0.002	1.1999711579327
TRAF2	MAP3K1	directed	process(activation)	MAPK_signaling_pathway	KEGG	TRAF2MAP3K1	1	Red	Leaf_branch_52	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___ARRB2	Signaling	1	-0.450521220698651	0.0319703360317765	0.0319703360317765	Red	-0.798803911298352	-0.798803911298352	Blue	-0.450521220698651	-0.450521220698651	Blue	0.002	1.1999711579327
MAP3K1	MAP2K4	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP3K1MAP2K4	1	Red	Leaf_branch_52	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___ARRB2	Signaling	1	0.336873974669855	0.0289182278600246	0.0289182278600246	Red	-0.450521220698651	-0.450521220698651	Blue	0.336873974669855	0.336873974669855	Red	0.002	1.1999711579327
MAP2K4	ARRB2	directed	process(binding/association)	MAPK_signaling_pathway	KEGG	MAP2K4ARRB2	1	Green	Leaf_branch_52	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___ARRB2	Leaf	1	46.8911162646134	0.0274468851574732	0.0274468851574732	Green	0.336873974669855	0.336873974669855	Red	46.8911162646134	46.8911162646134	Red	0.002	1.1999711579327
TNF	TNFRSF1A	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_49	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___FLNA	Ligand	1	41.113067856744	0.0452752996305479	0.0452752996305479	Red	0.635126428864221	0.635126428864221	Red	41.113067856744	41.113067856744	Red	0.004	1.43648232218197
TNFRSF1A	TRAF2	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_49	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___FLNA	Receptor	1	-0.798803911298352	0.0202969922320282	0.0202969922320282	Red	41.113067856744	41.113067856744	Red	-0.798803911298352	-0.798803911298352	Blue	0.004	1.43648232218197
TRAF2	MAP3K1	directed	process(activation)	MAPK_signaling_pathway	KEGG	TRAF2MAP3K1	1	Red	Leaf_branch_49	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___FLNA	Signaling	1	-0.450521220698651	0.0319703360317765	0.0319703360317765	Red	-0.798803911298352	-0.798803911298352	Blue	-0.450521220698651	-0.450521220698651	Blue	0.004	1.43648232218197
MAP3K1	MAP2K4	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP3K1MAP2K4	1	Red	Leaf_branch_49	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___FLNA	Signaling	1	0.336873974669855	0.0289182278600246	0.0289182278600246	Red	-0.450521220698651	-0.450521220698651	Blue	0.336873974669855	0.336873974669855	Red	0.004	1.43648232218197
MAP2K4	FLNA	directed	process(binding/association)	MAPK_signaling_pathway	KEGG	MAP2K4FLNA	1	Green	Leaf_branch_49	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___FLNA	Leaf	1	30.9949274467735	0.0493942621549976	0.0493942621549976	Green	0.336873974669855	0.336873974669855	Red	30.9949274467735	30.9949274467735	Red	0.004	1.43648232218197
