gene	gene_type	pathway
CHUK	TF	MAPK_signaling_pathway
ELK1	TF	MAPK_signaling_pathway
MAP2K1	links	MAPK_signaling_pathway
MAP2K3	links	MAPK_signaling_pathway;TNF_signaling_pathway
MAP2K4	TF	MAPK_signaling_pathway
MAP3K1	links	MAPK_signaling_pathway
MAP3K5	links	MAPK_signaling_pathway
MAPK1	links	MAPK_signaling_pathway
MAPK14	TF	MAPK_signaling_pathway;Osteoclast_differentiation;TNF_signaling_pathway
MAPK8	TF	MAPK_signaling_pathway
MAPKAPK3	TF	MAPK_signaling_pathway
TNF	Ligand	MAPK_signaling_pathway;Osteoclast_differentiation;TNF_signaling_pathway;Apoptosis
TNFRSF1A	Receptor	MAPK_signaling_pathway;Osteoclast_differentiation;Apoptosis
TRAF2	links	MAPK_signaling_pathway;Osteoclast_differentiation;TNF_signaling_pathway;NF-kappa_B_signaling_pathway
